Title,Publication,Link,,
The 20 Books That Defined Our Year,WSJ,http://www.wsj.com/articles/the-best-fiction-and-nonfiction-of-2016-1481307535,,
The Best Books We Read in 2016,The Atlantic,https://www.theatlantic.com/entertainment/archive/2016/12/the-best-books-we-read-in-2016/511517/,,
The Very Best Books I Read in 2016,Ryan Holiday,http://ryanholiday.net/the-very-best-books-i-read-in-2016/,,
Times Critics' Top Books of 2016,New York Times,http://www.nytimes.com/2016/12/14/arts/the-top-books-of-2016.html,,
My Favorite Books of 2016,Bill Gates,https://www.gatesnotes.com/About-Bill-Gates/Best-Books-2016,,
Man Booker 2016 Shortlist,Man Booker Prize,http://themanbookerprize.com/news/man-booker-prize-announces-2016-shortlist,,
Goodreads Choice Awards 2016,Goodreads,https://www.goodreads.com/choiceawards/best-books-2016,,
Books of the Year 2016,Economist,http://www.economist.com/news/books-and-arts/21711295-best-books-2016-are-about-china-language-microbes-hereditary-power-inequality,,
16 Overall Favorite Books of 2016,Brain Pickings,https://www.brainpickings.org/2016/12/15/best-books-2016/,,
The 25 Best Books of 2016,Esquire,http://www.esquire.com/entertainment/books/a47736/best-books-to-read-2016/,,
These are the Best Books of 2016,GQ,http://www.gq.com/story/best-books-of-2016,,
The 33 Best Books of 2016,Elle,http://www.elle.com/culture/books/g28967/best-books-2016/,,
Best 2016 Books,Publishers Weekly,http://best-books.publishersweekly.com/pw/best-books/2016/top-10,,
The 10 Best Books of 2016,Washington Post,https://www.washingtonpost.com/graphics/entertainment/2016-best-books/,,
The 10 Best Books of 2016 Faced Tough Topics Head On,NPR,http://www.npr.org/2016/12/08/504673109/the-10-best-books-of-2016-faced-tough-topics-head-on,,
The 10 most important books of 2016,LA Times,http://www.latimes.com/books/jacketcopy/la-ca-jc-10-books-20161208-story.html,,
"2016 Books: A President Leaves, but the Reading Continues",National Review,http://www.nationalreview.com/article/443400/best-books-2016-conservative-reading-choices,,
Best books of 2016,Boston Globe,https://www.bostonglobe.com/arts/2016/12/07/best-books/YogFuxKTVPooo8odn8UQBP/story.html,,
The Top 10 Nonfiction Books,Time,http://time.com/4571633/top-10-nonfiction-books-2016/,,
The Top 10 Novels,Time,http://time.com/4571550/top-10-novels-2016/,,
The 24 Best Fiction Books Of 2016,Buzzfeed,https://www.buzzfeed.com/isaacfitzgerald/the-best-fiction-books-of-2016,,
The 18 Best Nonfiction Books Of 2016,Buzzfeed,https://www.buzzfeed.com/isaacfitzgerald/the-best-nonfiction-books-of-2016,,
The best books we read in 2016,Vox,http://www.vox.com/culture/2016/12/22/13982768/best-books-2016,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
