List,Publication,Title,First Author,Year,Category,Sex,Race,Hispanic,Born,Age Estimated
The 20 Books That Defined Our Year,WSJ,The Genius of Birds,Jennifer Ackerman,2016,Non-Fiction,Female,White,FALSE,1959,FALSE
The 20 Books That Defined Our Year,WSJ,Secondhand Time: The Last of the Soviets,Svetlana Alexievich,2016,Non-Fiction,Female,White,FALSE,1948,FALSE
The 20 Books That Defined Our Year,WSJ,Eccentric Orbits: The Iridium Story,John Bloom,2016,Non-Fiction,Male,White,FALSE,1954,TRUE
The 20 Books That Defined Our Year,WSJ,Code Warriors,Stephen Budiansky,2016,Non-Fiction,Male,White,FALSE,1957,FALSE
The 20 Books That Defined Our Year,WSJ,The Vanishing Velázquez,Laura Cumming,2016,Non-Fiction,Female,White,FALSE,1961,FALSE
The 20 Books That Defined Our Year,WSJ,In a Different Key,John Donvan,2016,Non-Fiction,Male,White,FALSE,1955,FALSE
The 20 Books That Defined Our Year,WSJ,The Rise and Fall of American Growth: The US Standard of Living since the Civil War,Robert Gordon,2016,Non-Fiction,Male,White,FALSE,1940,FALSE
The 20 Books That Defined Our Year,WSJ,Harry & Arthur,Lawrence J. Haas,2016,Non-Fiction,Male,White,FALSE,1957,TRUE
The 20 Books That Defined Our Year,WSJ,Black Hole Blues and Other Songs from Outer Space,Janna Levin,2016,Non-Fiction,Female,White,FALSE,1967,FALSE
The 20 Books That Defined Our Year,WSJ,The Story of a Brief Marriage,Anuk Arudpragasam,2016,Fiction,Male,Asian,FALSE,1988,FALSE
The 20 Books That Defined Our Year,WSJ,Spill Simmer Falter Wither,Sara Baume,2016,Fiction,Female,White,FALSE,1984,FALSE
The 20 Books That Defined Our Year,WSJ,Moonglow,Michael Chabon,2016,Fiction,Male,White,FALSE,1963,FALSE
The 20 Books That Defined Our Year,WSJ,The Heart,Maylis de Kerangal,2016,Fiction,Female,White,FALSE,1967,FALSE
The 20 Books That Defined Our Year,WSJ,Heat and Light,Jennifer Haigh,2016,Fiction,Female,White,FALSE,1968,FALSE
The 20 Books That Defined Our Year,WSJ,Imagine Me Gone,Adam Haslett,2016,Fiction,Male,White,FALSE,1970,FALSE
The 20 Books That Defined Our Year,WSJ,Oblivion,Sergei Lebedev,2016,Fiction,Male,White,FALSE,1981,FALSE
The 20 Books That Defined Our Year,WSJ,High Dive,Jonathan Lee,2016,Fiction,Male,White,FALSE,1981,FALSE
The 20 Books That Defined Our Year,WSJ,The Sport of Kings,C.E. Morgan,2016,Fiction,Female,White,FALSE,1976,FALSE
The 20 Books That Defined Our Year,WSJ,The Underground Railroad,Colson Whitehead,2016,Fiction,Male,Black,FALSE,1969,FALSE
